Goal,Target,Indicator,SeriesCode,Country,Time,Val,ValType,Age,Freq,Location,Nature,Sex,Units,ValueType
2,2.2,2.2.1,SH_STA_STNT,Australia and New Zealand,2000,-,String,<5,A,T,NA,Total,Percentage,LB
2,2.2,2.2.1,SH_STA_STNT,Australia and New Zealand,2000,-,String,<5,A,T,NA,Total,Percentage,UB
2,2.2,2.2.1,SH_STA_STNT,Australia and New Zealand,1995,-,String,<5,A,T,NA,Total,Percentage,UB
2,2.2,2.2.1,SH_STA_STNT,Australia and New Zealand,1995,-,String,<5,A,T,NA,Total,Percentage,LB
2,2.2,2.2.1,SH_STA_STNT,Australia and New Zealand,2005,-,String,<5,A,T,NA,Total,Percentage,UB
2,2.2,2.2.1,SH_STA_STNT,Australia and New Zealand,2005,-,String,<5,A,T,NA,Total,Percentage,LB
2,2.2,2.2.2,SN_STA_OVWGT,Australia and New Zealand,2000,-,String,<5,A,T,NA,Total,Percentage,UB
2,2.2,2.2.2,SN_STA_OVWGT,Australia and New Zealand,2000,-,String,<5,A,T,NA,Total,Percentage,LB
2,2.2,2.2.2,SN_STA_OVWGT,Australia and New Zealand,2005,-,String,<5,A,T,NA,Total,Percentage,UB
2,2.2,2.2.2,SN_STA_OVWGT,Australia and New Zealand,2005,-,String,<5,A,T,NA,Total,Percentage,LB
2,2.2,2.2.2,SN_STA_OVWGT,Australia and New Zealand,1995,-,String,<5,A,T,NA,Total,Percentage,UB
2,2.2,2.2.2,SN_STA_OVWGT,Australia and New Zealand,1995,-,String,<5,A,T,NA,Total,Percentage,LB
2,2.2,2.2.2,SN_STA_OVWGTN,Australia and New Zealand,2000,-,String,<5,A,T,NA,Total,#,UB
2,2.2,2.2.2,SN_STA_OVWGTN,Australia and New Zealand,2000,-,String,<5,A,T,NA,Total,#,LB
2,2.2,2.2.2,SN_STA_OVWGTN,Australia and New Zealand,1995,-,String,<5,A,T,NA,Total,#,UB
2,2.2,2.2.2,SN_STA_OVWGTN,Australia and New Zealand,1995,-,String,<5,A,T,NA,Total,#,LB
2,2.2,2.2.2,SN_STA_OVWGTN,Australia and New Zealand,2005,-,String,<5,A,T,NA,Total,#,UB
2,2.2,2.2.2,SN_STA_OVWGTN,Australia and New Zealand,2005,-,String,<5,A,T,NA,Total,#,LB
2,2.1,2.1.1,SN_ITK_DEFC,Venezuela (Bolivarian Republic),2014,<5.0,String,All,A,T,E,Total,Percentage,P
2,2.1,2.1.1,SN_ITK_DEFC,Korea (South),2014,<5.0,String,All,A,T,E,Total,Percentage,P
2,2.1,2.1.1,SN_ITK_DEFC,Kazakhstan,2014,<5.0,String,All,A,T,E,Total,Percentage,P
2,2.1,2.1.1,SN_ITK_DEFC,Chile,2014,<5.0,String,All,A,T,E,Total,Percentage,P
2,2.1,2.1.1,SN_ITK_DEFC,"Iran, Islamic Republic of",2014,<5.0,String,All,A,T,E,Total,Percentage,P
2,2.1,2.1.1,SN_ITK_DEFC,Brazil,2014,<5.0,String,All,A,T,E,Total,Percentage,P
2,2.1,2.1.1,SN_ITK_DEFC,Australia and New Zealand,2002,<5.0,String,All,A,T,E,Total,Percentage,P
2,2.1,2.1.1,SN_ITK_DEFC,Australia,2002,<5.0,String,All,A,T,E,Total,Percentage,P
2,2.1,2.1.1,SN_ITK_DEFC,New Zealand,2002,<5.0,String,All,A,T,E,Total,Percentage,P
2,2.1,2.1.1,SN_ITK_DEFC,Uruguay,2014,<5.0,String,All,A,T,E,Total,Percentage,P
2,2.1,2.1.1,SN_ITK_DEFC,Argentina,2014,<5.0,String,All,A,T,E,Total,Percentage,P
2,2.1,2.1.1,SN_ITK_DEFC,Cuba,2014,<5.0,String,All,A,T,E,Total,Percentage,P
2,2.1,2.1.1,SN_ITK_DEFC,Montenegro,2014,<5.0,String,All,A,T,E,Total,Percentage,P
2,2.1,2.1.1,SN_ITK_DEFC,Portugal,2014,<5.0,String,All,A,T,E,Total,Percentage,P
2,2.1,2.1.1,SN_ITK_DEFC,San Marino,2014,<5.0,String,All,A,T,E,Total,Percentage,P
2,2.1,2.1.1,SN_ITK_DEFC,Cuba,2001,<5.0,String,All,A,T,E,Total,Percentage,P
2,2.1,2.1.1,SN_ITK_DEFC,Italy,2014,<5.0,String,All,A,T,E,Total,Percentage,P
2,2.1,2.1.1,SN_ITK_DEFC,Montenegro,2001,<5.0,String,All,A,T,E,Total,Percentage,P
2,2.1,2.1.1,SN_ITK_DEFC,Czech Republic,1994,<5.0,String,All,A,T,E,Total,Percentage,P
2,2.1,2.1.1,SN_ITK_DEFC,Bulgaria,1994,<5.0,String,All,A,T,E,Total,Percentage,P
2,2.1,2.1.1,SN_ITK_DEFC,Greece,2014,<5.0,String,All,A,T,E,Total,Percentage,P
2,2.1,2.1.1,SN_ITK_DEFC,Hungary,1994,<5.0,String,All,A,T,E,Total,Percentage,P
2,2.1,2.1.1,SN_ITK_DEFC,Poland,1994,<5.0,String,All,A,T,E,Total,Percentage,P
2,2.1,2.1.1,SN_ITK_DEFC,Moldova,1994,<5.0,String,All,A,T,E,Total,Percentage,P
2,2.1,2.1.1,SN_ITK_DEFC,Holy See (Vatican City State),2014,<5.0,String,All,A,T,E,Total,Percentage,P
2,2.1,2.1.1,SN_ITK_DEFC,Bermuda,1994,<5.0,String,All,A,T,E,Total,Percentage,P
2,2.1,2.1.1,SN_ITK_DEFC,Saudi Arabia,1994,<5.0,String,All,A,T,E,Total,Percentage,P
2,2.1,2.1.1,SN_ITK_DEFC,Western Europe,2014,<5.0,String,All,A,T,E,Total,Percentage,P
2,2.1,2.1.1,SN_ITK_DEFC,Cyprus,1994,<5.0,String,All,A,T,E,Total,Percentage,P
2,2.1,2.1.1,SN_ITK_DEFC,Israel,1994,<5.0,String,All,A,T,E,Total,Percentage,P
2,2.1,2.1.1,SN_ITK_DEFC,Malta,2014,<5.0,String,All,A,T,E,Total,Percentage,P
2,2.1,2.1.1,SN_ITK_DEFC,Samoa,2002,<5.0,String,All,A,T,E,Total,Percentage,P
2,2.1,2.1.1,SN_ITK_DEFC,Kiribati,2002,<5.0,String,All,A,T,E,Total,Percentage,P
2,2.1,2.1.1,SN_ITK_DEFC,Costa Rica,2014,<5.0,String,All,A,T,E,Total,Percentage,P
2,2.1,2.1.1,SN_ITK_DEFC,Fiji,2002,<5.0,String,All,A,T,E,Total,Percentage,P
2,2.1,2.1.1,SN_ITK_DEFC,Australia and New Zealand,1996,<5.0,String,All,A,T,E,Total,Percentage,P
2,2.1,2.1.1,SN_ITK_DEFC,Australia,1996,<5.0,String,All,A,T,E,Total,Percentage,P
2,2.1,2.1.1,SN_ITK_DEFC,New Zealand,1996,<5.0,String,All,A,T,E,Total,Percentage,P
2,2.1,2.1.1,SN_ITK_DEFC,Barbados,2014,<5.0,String,All,A,T,E,Total,Percentage,P
2,2.1,2.1.1,SN_ITK_DEFC,Malaysia,2002,<5.0,String,All,A,T,E,Total,Percentage,P
2,2.1,2.1.1,SN_ITK_DEFC,Gabon,2014,<5.0,String,All,A,T,E,Total,Percentage,P
2,2.1,2.1.1,SN_ITK_DEFC,Tunisia,2002,<5.0,String,All,A,T,E,Total,Percentage,P
2,2.1,2.1.1,SN_ITK_DEFC,Serbia,2002,<5.0,String,All,A,T,E,Total,Percentage,P
2,2.1,2.1.1,SN_ITK_DEFC,Slovenia,2002,<5.0,String,All,A,T,E,Total,Percentage,P
2,2.1,2.1.1,SN_ITK_DEFC,Switzerland,2002,<5.0,String,All,A,T,E,Total,Percentage,P
2,2.1,2.1.1,SN_ITK_DEFC,Netherlands,2002,<5.0,String,All,A,T,E,Total,Percentage,P
2,2.1,2.1.1,SN_ITK_DEFC,Brunei Darussalam,1996,<5.0,String,All,A,T,E,Total,Percentage,P
2,2.1,2.1.1,SN_ITK_DEFC,Korea (South),1996,<5.0,String,All,A,T,E,Total,Percentage,P
2,2.1,2.1.1,SN_ITK_DEFC,Malaysia,1996,<5.0,String,All,A,T,E,Total,Percentage,P
2,2.1,2.1.1,SN_ITK_DEFC,Korea (South),2002,<5.0,String,All,A,T,E,Total,Percentage,P
2,2.1,2.1.1,SN_ITK_DEFC,Brunei Darussalam,2002,<5.0,String,All,A,T,E,Total,Percentage,P
2,2.1,2.1.1,SN_ITK_DEFC,Tunisia,1996,<5.0,String,All,A,T,E,Total,Percentage,P
2,2.1,2.1.1,SN_ITK_DEFC,Brunei Darussalam,2014,<5.0,String,All,A,T,E,Total,Percentage,P
2,2.1,2.1.1,SN_ITK_DEFC,South Africa,2014,<5.0,String,All,A,T,E,Total,Percentage,P
2,2.1,2.1.1,SN_ITK_DEFC,Gabon,2002,<5.0,String,All,A,T,E,Total,Percentage,P
2,2.1,2.1.1,SN_ITK_DEFC,Tunisia,2014,<5.0,String,All,A,T,E,Total,Percentage,P
2,2.1,2.1.1,SN_ITK_DEFC,Malaysia,2014,<5.0,String,All,A,T,E,Total,Percentage,P
2,2.1,2.1.1,SN_ITK_DEFC,South Africa,2002,<5.0,String,All,A,T,E,Total,Percentage,P
